time,index,confidence,x_norm,y_norm,base_data
201.956053338999,6059,1,0.454563613456716,0.479132342734044,4473.081198768-0.0
201.987978231,6060,1,0.455251777302921,0.478377337139794,4473.11312366-0.0
202.02401132,6061,1,0.454673962590089,0.479214916917744,4473.149156749-0.0
202.055982401,6062,1,0.455040939267764,0.478241413383017,4473.18112783-0.0
202.087986457,6063,1,0.455328639536913,0.477136335357294,4473.213131886-0.0
202.124008661,6064,1,0.454769370902123,0.477673630715502,4473.24915409-0.0
202.156018807999,6065,1,0.455004498754022,0.476278401565015,4473.281164237-0.0
202.187989018,6066,1,0.454849688926334,0.47754081486379,4473.313134447-0.0
202.224015500999,6067,1,0.454591820114525,0.478014170191933,4473.34916093-0.0
202.256014653,6068,1,0.454729277559369,0.477449467202717,4473.381160082-0.0
202.288034994999,6069,1,0.45429428766901,0.47843394221163,4473.413180424-0.0
202.324005588999,6070,1,0.454572367043834,0.479128466256254,4473.449151018-0.0
202.356016670999,6071,1,0.454445188975877,0.479084918292205,4473.4811621-0.0
202.38799984,6072,1,0.454912540669729,0.477959838131435,4473.513145269-0.0
202.424020128,6073,1,0.454761848258835,0.478264231419077,4473.549165557-0.0
202.456004868999,6074,1,0.453746922934343,0.478030564954121,4473.581150298-0.0
202.488009643999,6075,1,0.453612536841233,0.478501221467594,4473.613155073-0.0
202.523996194999,6076,1,0.453957479482539,0.478519111476981,4473.649141624-0.0
202.556023782,6077,1,0.454226331393392,0.476528361460783,4473.681169211-0.0
202.588025798999,6078,1,0.454570401319161,0.47724961120548,4473.713171228-0.0
202.623994113999,6079,1,0.454305503209957,0.477862070848209,4473.749139543-0.0
202.656029541999,6080,1,0.454095772061922,0.476732315433733,4473.781174971-0.0
202.688001457,6081,1,0.454156238026661,0.475712123969505,4473.813146886-0.0
202.723977109999,6082,1,0.454124518860406,0.474788020346793,4473.849122539-0.0
202.75603393,6083,1,0.454454629819021,0.482311061013807,4473.881179359-0.0
202.787993293,6084,1,0.454346546460501,0.483091360716335,4473.913138722-0.0
202.824035406,6085,1,0.454672320511598,0.483426891971986,4473.949180835-0.0
202.856530585999,6086,1,0.454938599765433,0.482344385920076,4473.981676015-0.0
202.888029473,6087,1,0.456016213874744,0.48246993613181,4474.013174902-0.0
202.924040227999,6088,1,0.456037093086145,0.481669299516703,4474.049185657-0.0
202.955989167999,6089,1,0.456088448345064,0.479685735082573,4474.081134597-0.0
202.988011201,6090,1,0.456639399670934,0.481472729293579,4474.11315663-0.0
203.024031903999,6091,1,0.45472175019508,0.486312924964381,4474.149177333-0.0
203.056036657,6092,1,0.453374569327824,0.487331888703988,4474.181182086-0.0
